,id,escolas_postos,bairro,endereço,lat,lon,numero,tipo_da_escola
96,202,E.M. PROFESSOR TEOFILO MOREIRA DA COSTA,VARGEM GRANDE,RUA ESPERANCA,-22.98172,-43.49163,387,EM
97,550,EM 25 DE ABRIL,FREGUESIA JPA,RUA MAMORE,-22.93816,-43.34257,78,EM
98,211,EM FRANCIS HIME,TAQUARA,ESTRADA PAU DA FOME,-22.91883,-43.41625,196,EM
99,206,EM HONDURAS,PRACA SECA,PRACA BARAO DA TAQUARA,-22.89693,-43.35266,12,EM
100,492,EM MENEZES CORTES,FREGUESIA JPA,PRACA JOSE ALVES DE AZEVEDO,-22.94265,-43.33896,43,EM
101,466,ESCOLA MUNICIPAL NELSON RODRIGUES,TAQUARA,RUA FREI LUIZ ALEVATO,-22.93532,-43.36972,S/NDEG,EM
102,636,EM PABLO NERUDA,TAQUARA,"ESTRADA DO MAPUA, S/NO RUA",-22.92688,-43.38788,3,EM
103,527,EM VIRGILIO VARZEA,PECHINCHA,RUA JOSE SILVA,-22.93253,-43.35113,155,EM
104,586,CIEP ANTONIO EVARISTO DE MORAES,SENADOR CAMARA,AVENIDA DE SANTA CRUZ,-22.88179,-43.48732,S/NDEG,CIEP
105,080,E.M. JOSE MAURO DE VASCONCELOS,BANGU,RUA MARLIERIA,-22.85043,-43.46685,S/NO,EM
106,398,EM LEONARDO DA VINCI,BANGU,RUA RENATO REBECCHI,-22.89252,-43.47295,S/N.DEG,EM
107,175,E.M. NACOES UNIDAS,BANGU,RUA DOS LIMADORES,-22.88814,-43.47629,S/NDEG,EM
108,308,CIEP THOMAS JEFFERSON,REALENGO,ESTRADA DO ENGENHO NOVO,-22.86652,-43.42514,S/NO,CIEP
